Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,S071-004,LMG_23826,25MDFML003374-2A,MOD1_WNTSBCO4,10_6_2001,716,CS-42,CFSAN145334,CRZK,bq,CFSAN080751,1011-04,CFSAN142785,CS6162,CH43,CH65,CH44,CFSAN141446,CH84,CFSAN080747,25MDFML003369-4A,CS291,KubGAU_B-268,CFSAN129441,cro810A3,cro1489B1,HA18074,CFSAN141625,25MDFML004503-1A,25MDFML003369-3A,CH45,SC16,MOD1_LR736,CE52,CFSAN140976,CFSAN138565,CFSAN135223,S054-001,S053-001
group_382,,IS3 family transposase ISSen4,4,4,1,1,1181,,,,831,831,831,,,,,,,,,,FDIPHMPI_02773,,,,,,,,,,19_refound_507,,FAKIMOAG_03639,,,,,,,,,,HOGJFGMH_02990,,,,,,,
cdgJ_2,cdgJ_2,Cyclic di-GMP phosphodiesterase CdgJ,4,4,1,1,1171,,,,1215,1215,1215,,,,,,,,,,,,,,,,,,,,,,,,HFELHBKN_04284,,,,BDMJLJKB_04387,,,,,,,,OAICLECK_04250,,PGNFGNII_04241,
group_361,,hypothetical protein,4,4,1,1,1124,,,,1035,1035,1035,,,,,,,,,,,,,,BOLFLKJN_01759,,,,,,PDLMEAGH_03806,,FAKIMOAG_02765,,,,,,,,,,HOGJFGMH_03699,,,,,,,
group_338,,hypothetical protein,4,4,1,1,1073,,,,1056,1056,1056,,,,,,,,,,,,,,BOLFLKJN_04337,,,,,,PDLMEAGH_00231,,FAKIMOAG_03891,,,,,,,,,,HOGJFGMH_04213,,,,,,,
pifC,pifC,Transcriptional repressor PifC,4,4,1,1,1023,,,,1086,1086,1086,,NCDGGIKE_04180,,,,,,,,,GAFMEKNJ_03062,JJCAEOCL_03366,,BOLFLKJN_04181,,,,,,,,,,,,,,,,,,,,,,,,,
fdtB,fdtB,dTDP-3-amino-36-dideoxy-alpha-D-galactopyranose transaminase,4,4,1,1,986,,,,1107,1107,1107,,,,,,,,,,,,,,BOLFLKJN_03621,,,,,,,,FAKIMOAG_03243,,,,PLNCNKBH_01864,,,,,,HOGJFGMH_03904,,,,,,,
group_302,,hypothetical protein,4,4,1,1,982,,,,426,426,426,,,,,,,,,,,,,,,,,,,,,,,,HFELHBKN_04285,,,,BDMJLJKB_04388,,,,,,,,OAICLECK_04251,,PGNFGNII_04242,
group_298,,hypothetical protein,4,4,1,1,972,,,,360,360,360,,,,,,,,,,,,,,,,,,,,,,,,HFELHBKN_04287,,,,BDMJLJKB_04390,,,,,,,,OAICLECK_04253,,PGNFGNII_04244,
nolA,nolA,Nodulation protein NolA,4,4,1,1,965,,,,378,378,378,,,,,,,,,,,,,,,,,,,,,,,,HFELHBKN_04289,,,,BDMJLJKB_04392,,,,,,,,OAICLECK_04255,,PGNFGNII_04246,
group_295,,Arylesterase,4,4,1,1,957,,,,912,912,912,,,,,,,,,,,,,,,,,,,,,,,,HFELHBKN_04290,,,,BDMJLJKB_04393,,,,,,,,OAICLECK_04256,,PGNFGNII_04247,
group_290,,hypothetical protein,4,4,1,1,947,,,,141,141,141,,,,,,,,,,,,,,,,,,,,,,,,HFELHBKN_04291,,,,27_refound_812,,,,,,,,35_refound_1041,,PGNFGNII_04248,
group_287,,hypothetical protein,4,4,1,1,940,,,,594,594,594,,,,,,,,,,,,,,,,,,,,,,,,HFELHBKN_04292,,,,BDMJLJKB_04394,,,,,,,,OAICLECK_04257,,PGNFGNII_04249,
group_284,,hypothetical protein,4,4,1,1,933,,,,1137,1137,1137,,,,,,,,,,,,,,BOLFLKJN_02600,,,,,,PDLMEAGH_00226,,FAKIMOAG_01895,,,,,,,,,,HOGJFGMH_02766,,,,,,,
rtcB_2,rtcB_2,RNA-splicing ligase RtcB,4,4,1,1,926,,,,1140,1140,1140,,NCDGGIKE_03080,,,,,,,,FDIPHMPI_00794,GAFMEKNJ_01680,JJCAEOCL_02735,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_265,,IS110 family transposase IS1618,4,4,1,1,874,,,,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,MIEBPKLG_04311,,AAJLDHNL_04380,,,,,,MDDFFGJE_04593,ADGPNKPL_04250,,,,,,,,,
rsbW,rsbW,Serine-protein kinase RsbW,4,4,1,1,855,,,,414,414,414,,,,,,,,,,,,,,,,,,,,,,,,,FPIHAPOB_01096,,,BDMJLJKB_04399,,,,,,,,OAICLECK_04262,,PGNFGNII_04254,
group_191,,hypothetical protein,4,4,1,1,604,,,,1365,1365,1365,,,,,,DALMCLCA_04269,,,,FDIPHMPI_04051,GAFMEKNJ_04135,JJCAEOCL_03051,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_180,,hypothetical protein,4,4,1,1,550,,,,1404,1404,1404,,,,,,,,,,,GAFMEKNJ_04109,JJCAEOCL_03814,,,,,,,,,,FAKIMOAG_04190,,,,,,,,,,HOGJFGMH_01649,,,,,,,
group_175,,hypothetical protein,4,4,1,1,536,,,,915,915,915,,,,,,,,,,,,,,,,,,,,,,,,,FPIHAPOB_01099,,,BDMJLJKB_04402,,,,,,,,OAICLECK_04265,,PGNFGNII_04257,
group_165,,hypothetical protein,4,4,1,1,498,,,,1449,1449,1449,,,,,PBHEHNGA_04322,,,,,,,,,,,,,,,,,,AAJLDHNL_04385,,,,IMMFCMMB_01212,,,,,,BFJHMAPM_03283,,,,,,
group_150,,IS3 family transposase IS1222,4,4,1,1,470,,,,264,264,264,,,,,,,,,,FDIPHMPI_02774,,,,,,,,,,PDLMEAGH_03704,,FAKIMOAG_03638,,,,,,,,,,HOGJFGMH_02989,,,,,,,
group_146,,hypothetical protein,4,4,1,1,458,,,,1479,1479,1479,,,,,,,,,,,,,,BOLFLKJN_01754,,,,,,PDLMEAGH_03811,,FAKIMOAG_02770,,,,,,,,,,HOGJFGMH_03694,,,,,,,
group_143,,hypothetical protein,4,4,1,1,451,,,,1485,1485,1485,,,,,4_refound_105,,,,,,,,,,,,,,,,,,22_refound_596,,,,IMMFCMMB_01211,,,,,,BFJHMAPM_03282,,,,,,
group_108,,hypothetical protein,4,4,1,1,338,,,,1659,1659,1659,,,,,,,,,,,,,,BOLFLKJN_01764,,,,,,PDLMEAGH_03801,,FAKIMOAG_02760,,,,,,,,,,HOGJFGMH_03704,,,,,,,
merA,merA,Mercuric reductase,4,4,1,1,320,,,,1686,1686,1686,,,,,PBHEHNGA_04292,,,,,,,,,,,,,,,,,,AAJLDHNL_04329,,FPIHAPOB_03628,,,,,,,,BFJHMAPM_03298,,,,,,
group_73,,hypothetical protein,4,4,1,1,235,,,,1890,1890,1890,,,,,,,,,,,GAFMEKNJ_04093,JJCAEOCL_03800,,,,,,,,,,FAKIMOAG_04168,,,,,,,,,,HOGJFGMH_01627,,,,,,,
group_41,,hypothetical protein,4,4,1,1,125,,,,2196,2196,2196,,NCDGGIKE_04179,,,,,,,,,GAFMEKNJ_03063,JJCAEOCL_03367,,BOLFLKJN_04180,,,,,,,,,,,,,,,,,,,,,,,,,
fecA_2,fecA_2,Fe(3+) dicitrate transport protein FecA,4,4,1,1,110,,,,2325,2325,2325,,,,,PBHEHNGA_04260,,ONIJJAOC_01932,,,,,,,,,,,MLDDBGFK_04259,,,,,,,,,,BDMJLJKB_04274,,,,,,,,,,,
group_33,,hypothetical protein,4,4,1,1,101,,,,2376,2376,2376,,,,,,,,,,,,,,BOLFLKJN_04338,,,,,,PDLMEAGH_00232,,FAKIMOAG_03892,,,,,,,,,,HOGJFGMH_04214,,,,,,,
group_4,,hypothetical protein,4,4,1,1,18,,,,3318,3318,3318,,,,,,,,,,,,,,BOLFLKJN_02601,,,,,,PDLMEAGH_00225,,FAKIMOAG_01896,,,,,,,,,,HOGJFGMH_02765,,,,,,,
group_4349,,hypothetical protein,3,3,1,214,1,,,,228,228,228,,,,,,DALMCLCA_03487,,,,,,,,,,,,,,PDLMEAGH_04095,,,,,,,,,,,,,BFJHMAPM_02521,,,,,,
group_4348,,hypothetical protein,3,3,1,213,1,,,,237,375,306,,,,,,,,,,,,,,,,,,,,,,FAKIMOAG_04360,,,,PLNCNKBH_01524,,,,,,31_refound_936,,,,,,,
group_4347,,hypothetical protein,3,3,1,211,1,,,,279,279,279,,,,,PBHEHNGA_04230,5_refound_133,ONIJJAOC_03030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4342,,IS3 family transposase IS1222,3,3,1,208,2,,,,264,264,264,COBAIANA_03704,,,,,,,,,FDIPHMPI_02185,,JJCAEOCL_04421,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4341,,IS3 family transposase ISSen4;IS3 family transposase ISRaq1,3,3,1,208,1,,,,825,831,829,COBAIANA_03705,,,,,,,,,FDIPHMPI_02184,,JJCAEOCL_04420,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_4302,,hypothetical protein,3,3,1,196,1,,,,456,456,456,,,,,,,,,,,,,,13_refound_353,,,,,,,,21_refound_563,,,,,,,,,,HOGJFGMH_04118,,,,,,,
group_4197,,hypothetical protein,3,3,1,166,5,,,,222,222,222,,,,,,,,,,,,,,,,,,,,,,FAKIMOAG_04412,,,,,,,MDDFFGJE_04083,,,HOGJFGMH_01497,,,,,,,
group_4196,klcA_2,Antirestriction protein KlcA,3,3,1,166,4,,,,429,429,429,,,,,,,,,,,,,,,,,,,,,,FAKIMOAG_04410,,,,,,,MDDFFGJE_04081,,,HOGJFGMH_01499,,,,,,,
group_4195,,hypothetical protein,3,3,1,166,3,,,,423,423,423,,,,,,,,,,,,,,,,,,,,,,FAKIMOAG_04411,,,,,,,MDDFFGJE_04082,,,HOGJFGMH_01498,,,,,,,
group_4194,,hypothetical protein,3,3,1,166,2,,,,198,198,198,,,,,,,,,,,,,,,,,,,,,,FAKIMOAG_04409,,,,,,,MDDFFGJE_04080,,,HOGJFGMH_01500,,,,,,,
group_4193,yhdJ,DNA adenine methyltransferase YhdJ,3,3,1,166,1,,,,693,693,693,,,,,,,,,,,,,,,,,,,,,,FAKIMOAG_04413,,,,,,,MDDFFGJE_04084,,,HOGJFGMH_01496,,,,,,,
group_4189,,hypothetical protein,3,3,1,162,1,,,,537,537,537,,,,,,,,,,,,,,,,,,,,,,FAKIMOAG_01120,,,,25_refound_746,,,,,,31_refound_911,,,,,,,
group_4188,tehB,Tellurite methyltransferase,3,3,1,161,1,,,,594,594,594,,,,,,,,,,,,,,,,,,,,,MIEBPKLG_04237,,,23_refound_627,,25_refound_745,,,,,,,,,,,,,
group_4183,,hypothetical protein,3,3,1,159,5,,,,231,231,231,,,,,,,,,,,,,,,,,,,,PDLMEAGH_04234,,FAKIMOAG_04202,,,,,,,,,,HOGJFGMH_02219,,,,,,,
group_4180,flmA_2,Stable plasmid inheritance protein,3,3,1,159,2,,,,162,162,162,,,,,,,,,,,,,,,,,,,,PDLMEAGH_04235,,FAKIMOAG_04200,,,,,,,,,,HOGJFGMH_02221,,,,,,,
group_4179,,hypothetical protein,3,3,1,159,1,,,,402,732,622,,,,,,,,,,,,,,,,,,,,PDLMEAGH_04233,,FAKIMOAG_04203,,,,,,,,,,HOGJFGMH_02218,,,,,,,
mbeC,mbeC,Mobilization protein MbeC,3,3,1,141,4,,,,345,345,345,,,,,,,,,,,,,,,,,,MLDDBGFK_04314,,,,,,,,,,BDMJLJKB_04318,,,,,BFJHMAPM_03148,,,,,,
group_4128,,hypothetical protein,3,3,1,141,3,,,,216,216,216,,,,,,,,,,,,,,,,,,MLDDBGFK_04316,,,,,,,,,,BDMJLJKB_04320,,,,,BFJHMAPM_03150,,,,,,
group_4127,,hypothetical protein,3,3,1,141,2,,,,171,171,171,,,,,,,,,,,,,,,,,,MLDDBGFK_04313,,,,,,,,,,BDMJLJKB_04317,,,,,BFJHMAPM_03149,,,,,,
group_4126,,hypothetical protein,3,3,1,141,1,,,,486,486,486,,,,,,,,,,,,,,,,,,MLDDBGFK_04315,,,,,,,,,,BDMJLJKB_04319,,,,,BFJHMAPM_03151,,,,,,
group_4040,silP_2,Silver exporting P-type ATPase,3,3,1,137,1,,,,342,342,342,,,,,,,,,,,,,,,,HENDCIDF_04260,BGHDJHLL_03458,,OBCFPDNM_04024,,,,,,,,,,,,,,,,,,,,
group_4031,,hypothetical protein,3,3,1,130,3,,,,228,414,352,,,,,,,,,,,,,,,,,,,,PDLMEAGH_00602,,FAKIMOAG_00700,,,,,,,,,,HOGJFGMH_01352,,,,,,,
group_4030,,hypothetical protein,3,3,1,130,2,,,,300,300,300,,,,,,,,,,,,,,,,,,,,PDLMEAGH_00603,,FAKIMOAG_00699,,,,,,,,,,HOGJFGMH_01353,,,,,,,
group_4028,,hypothetical protein,3,3,1,129,3,,,,348,348,348,,,,,,,,,,,,,,BOLFLKJN_04314,,,,MLDDBGFK_04320,,,,,,,,,,BDMJLJKB_04324,,,,,,,,,,,
group_4027,,IS66 family transposase ISKpn24,3,3,1,129,2,,,,1539,1539,1539,,,,,,,,,,,,,,BOLFLKJN_04313,,,,MLDDBGFK_04321,,,,,,,,,,BDMJLJKB_04325,,,,,,,,,,,
group_4026,,hypothetical protein,3,3,1,129,1,,,,405,405,405,,,,,,,,,,,,,,BOLFLKJN_04315,,,,MLDDBGFK_04319,,,,,,,,,,BDMJLJKB_04323,,,,,,,,,,,
group_4020,cybB,Cytochrome b561,3,3,1,125,62,,,,531,531,531,,,,,,,,,,,,,,,,,,,,,MIEBPKLG_04223,,,,,,,,,,,,,,,,HGGDPEND_04261,,PDCFMNHJ_04234
group_4018,frmR_1,Transcriptional repressor FrmR,3,3,1,125,60,,,,276,276,276,,,,,,,,,,,,,,,,,,,,,MIEBPKLG_04226,,,,,,,,,,,,,,,,HGGDPEND_04264,,PDCFMNHJ_04237
group_4012,azoR_1,FMN-dependent NADH-azoreductase,3,3,1,125,54,,,,606,606,606,COBAIANA_04346,,,,,,,,,,,,FIMNDECN_04466,,,,,,,,,,,,,,,,,,,,,,,OAICLECK_04194,,,
group_4006,,hypothetical protein,3,3,1,125,48,,,,687,2643,1991,COBAIANA_04342,,,,,,,,,,,,FIMNDECN_04462,,,,,,,,,,,,,,,,,,,,,,,OAICLECK_04190,,,
group_3995,,hypothetical protein,3,3,1,125,36,,,,327,327,327,COBAIANA_04345,,,,,,,,,,,,FIMNDECN_04465,,,,,,,,,,,,,,,,,,,,,,,OAICLECK_04193,,,
group_3994,,hypothetical protein,3,3,1,125,35,,,,360,360,360,,,,,,,,,,,,,,,,,,,,,MIEBPKLG_04225,,,,,,,,,,,,,,,,HGGDPEND_04263,,PDCFMNHJ_04236
group_3988,aldA,Lactaldehyde dehydrogenase,3,3,1,125,29,,,,1440,1440,1440,,,,,,,,,,,,,,,,,,,,,MIEBPKLG_04221,,,,,,,,,,,,,,,,HGGDPEND_04259,,PDCFMNHJ_04232
group_3982,,hypothetical protein,3,3,1,125,23,,,,321,321,321,COBAIANA_04344,,,,,,,,,,,,FIMNDECN_04464,,,,,,,,,,,,,,,,,,,,,,,OAICLECK_04192,,,
group_3981,,hypothetical protein,3,3,1,125,21,,,,921,921,921,,,,,,,,,,,,,,,,,,,,,MIEBPKLG_04222,,,,,,,,,,,,,,,,HGGDPEND_04260,,PDCFMNHJ_04233
group_3975,frmA_1,S-(hydroxymethyl)glutathione dehydrogenase,3,3,1,125,15,,,,1119,1119,1119,,,,,,,,,,,,,,,,,,,,,MIEBPKLG_04227,,,,,,,,,,,,,,,,HGGDPEND_04265,,PDCFMNHJ_04238
group_3974,proP_1,Proline/betaine transporter,3,3,1,125,14,,,,1326,1326,1326,,,,,,,,,,,,,,,,,,,,,MIEBPKLG_04224,,,,,,,,,,,,,,,,HGGDPEND_04262,,PDCFMNHJ_04235
group_3963,,hypothetical protein,3,3,1,125,1,,,,192,192,192,COBAIANA_04343,,,,,,,,,,,,FIMNDECN_04463,,,,,,,,,,,,,,,,,,,,,,,OAICLECK_04191,,,
group_3784,,hypothetical protein,3,3,1,92,1,,,,255,255,255,,,,,,,,,,FDIPHMPI_01703,10_refound_254,11_refound_280,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_3690,,hypothetical protein,3,3,1,58,113,,,,156,159,157,,,,,,,,,,,,,FIMNDECN_03138,,,,,,,,,,AAJLDHNL_03715,,,,,,MDDFFGJE_03327,,,,,,,,,,
group_3678,,hypothetical protein,3,3,1,58,101,,,,2331,2331,2331,,,,,,,,,,,,,FIMNDECN_03180,,,,,,,,,,AAJLDHNL_03756,,,,,,MDDFFGJE_03369,,,,,,,,,,
group_3675,,hypothetical protein,3,3,1,58,98,,,,267,267,267,,,,,,,,,,,,,FIMNDECN_03170,,,,,,,,,,AAJLDHNL_03746,,,,,,MDDFFGJE_03359,,,,,,,,,,
group_3674,,hypothetical protein,3,3,1,58,97,,,,105,105,105,,,,,,,,,,,,,FIMNDECN_03145,,,,,,,,,,22_refound_601,,,,,,MDDFFGJE_03335,,,,,,,,,,
group_3669,,hypothetical protein,3,3,1,58,92,,,,213,213,213,,,,,,,,,,,,,FIMNDECN_03181,,,,,,,,,,AAJLDHNL_03757,,,,,,MDDFFGJE_03370,,,,,,,,,,
group_3654,,hypothetical protein,3,3,1,58,73,,,,477,477,477,,,,,,,,,,,,,12_refound_319,,,,,,,,,,22_refound_597,,,,,,MDDFFGJE_03330,,,,,,,,,,
group_3647,,hypothetical protein,3,3,1,58,65,,,,804,804,804,,,,,,,,,,,,,FIMNDECN_03146,,,,,,,,,,AAJLDHNL_03722,,,,,,MDDFFGJE_03336,,,,,,,,,,
group_3646,,hypothetical protein,3,3,1,58,63,,,,189,189,189,,,,,,,,,,,,,FIMNDECN_03140,,,,,,,,,,AAJLDHNL_03717,,,,,,MDDFFGJE_03329,,,,,,,,,,
group_3636,,hypothetical protein,3,3,1,58,50,,,,888,1104,1032,,,,,,,,,,,,,FIMNDECN_03183,,,,,,,,,,AAJLDHNL_03759,,,,,,MDDFFGJE_03372,,,,,,,,,,
group_3632,,hypothetical protein,3,3,1,58,46,,,,387,387,387,,,,,,,,,,,,,FIMNDECN_03182,,,,,,,,,,AAJLDHNL_03758,,,,,,MDDFFGJE_03371,,,,,,,,,,
group_3631,,hypothetical protein,3,3,1,58,45,,,,426,426,426,,,,,,,,,,,,,FIMNDECN_03139,,,,,,,,,,AAJLDHNL_03716,,,,,,MDDFFGJE_03328,,,,,,,,,,
group_3611,,hypothetical protein,3,3,1,58,23,,,,1236,1236,1236,,,,,,,,,,,,,FIMNDECN_03179,,,,,,,,,,AAJLDHNL_03755,,,,,,MDDFFGJE_03368,,,,,,,,,,
dnaE2,dnaE2,Error-prone DNA polymerase,3,3,1,58,22,,,,3519,3519,3519,,,,,,,,,,,,,FIMNDECN_03178,,,,,,,,,,AAJLDHNL_03754,,,,,,MDDFFGJE_03367,,,,,,,,,,
group_3610,,hypothetical protein,3,3,1,58,21,,,,444,444,444,,,,,,,,,,,,,FIMNDECN_03177,,,,,,,,,,AAJLDHNL_03753,,,,,,MDDFFGJE_03366,,,,,,,,,,
group_3609,,hypothetical protein,3,3,1,58,20,,,,477,477,477,,,,,,,,,,,,,FIMNDECN_03176,,,,,,,,,,AAJLDHNL_03752,,,,,,MDDFFGJE_03365,,,,,,,,,,
group_3608,,hypothetical protein,3,3,1,58,19,,,,300,300,300,,,,,,,,,,,,,FIMNDECN_03175,,,,,,,,,,AAJLDHNL_03751,,,,,,MDDFFGJE_03364,,,,,,,,,,
group_3607,,hypothetical protein,3,3,1,58,18,,,,564,564,564,,,,,,,,,,,,,FIMNDECN_03174,,,,,,,,,,AAJLDHNL_03750,,,,,,MDDFFGJE_03363,,,,,,,,,,
group_3605,,hypothetical protein,3,3,1,58,16,,,,432,432,432,,,,,,,,,,,,,FIMNDECN_03173,,,,,,,,,,AAJLDHNL_03749,,,,,,MDDFFGJE_03362,,,,,,,,,,
group_3604,,hypothetical protein,3,3,1,58,15,,,,1011,1011,1011,,,,,,,,,,,,,FIMNDECN_03172,,,,,,,,,,AAJLDHNL_03748,,,,,,MDDFFGJE_03361,,,,,,,,,,
xni,xni,Flap endonuclease Xni,3,3,1,58,14,,,,945,945,945,,,,,,,,,,,,,FIMNDECN_03171,,,,,,,,,,AAJLDHNL_03747,,,,,,MDDFFGJE_03360,,,,,,,,,,
recA_2,recA_2,Protein RecA,3,3,1,58,13,,,,1080,1080,1080,,,,,,,,,,,,,FIMNDECN_03169,,,,,,,,,,AAJLDHNL_03745,,,,,,MDDFFGJE_03358,,,,,,,,,,
group_3601,,hypothetical protein,3,3,1,58,10,,,,486,486,486,,,,,,,,,,,,,FIMNDECN_03161,,,,,,,,,,AAJLDHNL_03737,,,,,,MDDFFGJE_03351,,,,,,,,,,
group_3600,,hypothetical protein,3,3,1,58,9,,,,234,234,234,,,,,,,,,,,,,FIMNDECN_03159,,,,,,,,,,AAJLDHNL_03735,,,,,,MDDFFGJE_03349,,,,,,,,,,
group_3599,,hypothetical protein,3,3,1,58,8,,,,747,747,747,,,,,,,,,,,,,FIMNDECN_03157,,,,,,,,,,AAJLDHNL_03733,,,,,,MDDFFGJE_03347,,,,,,,,,,
group_3583,,hypothetical protein,3,3,1,56,62,,,,306,306,306,,,,,,,,,,,,,FIMNDECN_03071,,,,,,,,,,AAJLDHNL_03647,,,,,,MDDFFGJE_03383,,,,,,,,,,
group_3575,,hypothetical protein,3,3,1,56,53,,,,795,795,795,,,,,,,,,,,,,FIMNDECN_03077,,,,,,,,,,AAJLDHNL_03653,,,,,,MDDFFGJE_03389,,,,,,,,,,
group_3573,,hypothetical protein,3,3,1,56,51,,,,153,153,153,,,,,,,,,,,,,FIMNDECN_03072,,,,,,,,,,AAJLDHNL_03648,,,,,,MDDFFGJE_03384,,,,,,,,,,
group_3563,,hypothetical protein,3,3,1,56,41,,,,540,540,540,,,,,,DALMCLCA_01991,,,,,,,FIMNDECN_03086,,,,,,,,,,,,,,,,MDDFFGJE_03398,,,,,,,,,,
group_3558,,hypothetical protein,3,3,1,56,34,,,,270,270,270,,,,,,DALMCLCA_01990,,,,,,,FIMNDECN_03085,,,,,,,,,,,,,,,,MDDFFGJE_03397,,,,,,,,,,
group_3557,,Iron-sulfur cluster carrier protein,3,3,1,56,33,,,,666,666,666,,,,,,,,,,,,,FIMNDECN_03084,,,,,,,,,,AAJLDHNL_03661,,,,,,MDDFFGJE_03396,,,,,,,,,,
group_3533,,hypothetical protein,3,3,1,56,8,,,,417,417,417,,,,,,,,,,,,,FIMNDECN_03078,,,,,,,,,,AAJLDHNL_03654,,,,,,MDDFFGJE_03390,,,,,,,,,,
group_3529,,hypothetical protein,3,3,1,56,4,,,,2529,2529,2529,,,,,,,,,,,,,FIMNDECN_03090,,,,,,,,,,AAJLDHNL_03666,,,,,,MDDFFGJE_03402,,,,,,,,,,
efeB,efeB,Deferrochelatase/peroxidase EfeB,3,3,1,55,45,,,,1284,1284,1284,,,,,,,,,,,,,,,,,,,,,MIEBPKLG_04272,,,,FPIHAPOB_02362,,,,,,,,,,,,,PGNFGNII_04345,
group_3490,efeO,Iron uptake system component EfeO,3,3,1,55,9,,,,1128,1128,1128,,,,,,,,,,,,,,,,,,,,,MIEBPKLG_04271,,,,FPIHAPOB_02361,,,,,,,,,,,,,PGNFGNII_04344,
klcA_1_klcA,klcA_1;klcA,Antirestriction protein KlcA,4,3,1.333333333,45,5,,,,213,429,327.75,,,,,PBHEHNGA_03929;PBHEHNGA_03930,DALMCLCA_03571,,,,,,JJCAEOCL_03017,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_3464,,hypothetical protein,3,3,1,45,4,,,,180,192,188,,,,,PBHEHNGA_03928,DALMCLCA_03572,,,,,,JJCAEOCL_03016,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_3454,,hypothetical protein,3,3,1,39,3,,,,252,252,252,,,KEJBGJNJ_04217,,,,,,,,,,,,,,,,,,MIEBPKLG_04207,,,,,,,,,ADGPNKPL_04200,,,,,,,,,
group_3453,,hypothetical protein,3,3,1,39,2,,,,666,666,666,,,KEJBGJNJ_04216,,,,,,,,,,,,,,,,,,MIEBPKLG_04206,,,,,,,,,ADGPNKPL_04199,,,,,,,,,
pvuIIM,pvuIIM,Modification methylase PvuII,3,3,1,39,1,,,,873,873,873,,,KEJBGJNJ_04218,,,,,,,,,,,,,,,,,,MIEBPKLG_04208,,,,,,,,,ADGPNKPL_04201,,,,,,,,,
group_3452,,hypothetical protein,3,3,1,38,5,,,,261,261,261,,,KEJBGJNJ_04213,,,,,,,,,,,,,,,,,,MIEBPKLG_04203,,,,,,,,,ADGPNKPL_04196,,,,,,,,,
group_3451,,hypothetical protein,3,3,1,38,4,,,,297,297,297,,,KEJBGJNJ_04211,,,,,,,,,,,,,,,,,,MIEBPKLG_04201,,,,,,,,,ADGPNKPL_04194,,,,,,,,,
group_3450,,hypothetical protein,3,3,1,38,3,,,,846,846,846,,,KEJBGJNJ_04212,,,,,,,,,,,,,,,,,,MIEBPKLG_04202,,,,,,,,,ADGPNKPL_04195,,,,,,,,,
group_3449,,hypothetical protein,3,3,1,38,2,,,,1356,1356,1356,,,KEJBGJNJ_04214,,,,,,,,,,,,,,,,,,MIEBPKLG_04204,,,,,,,,,ADGPNKPL_04197,,,,,,,,,
group_3448,,hypothetical protein,3,3,1,38,1,,,,405,405,405,,,KEJBGJNJ_04215,,,,,,,,,,,,,,,,,,MIEBPKLG_04205,,,,,,,,,ADGPNKPL_04198,,,,,,,,,
madA,madA,Acetyl-S-ACP:malonate ACP transferase,3,3,1,10,3,,,,1656,1656,1656,,NCDGGIKE_00530,,,,,,,,,,,,13_refound_330,,,,,,,,21_refound_543,,,,,,,,,,,,,,,,,
group_3367,,hypothetical protein,3,3,1,6,22,,,,2688,2688,2688,,,,,,,,,,,,,,,,,,MLDDBGFK_04350,,,,,,,,,,BDMJLJKB_04426,,,,,,,,,HGGDPEND_04248,,
group_3365,,hypothetical protein,3,3,1,6,20,,,,573,573,573,,,,,,,,,,,,,,,,,,MLDDBGFK_04347,,,,,,,,,,BDMJLJKB_04423,,,,,,,,,HGGDPEND_04245,,
group_3364,,hypothetical protein,3,3,1,6,19,,,,234,234,234,,,,,,,,,,,,,,,,,,MLDDBGFK_04348,,,,,,,,,,BDMJLJKB_04424,,,,,,,,,HGGDPEND_04246,,
group_3360,,hypothetical protein,3,3,1,6,15,,,,846,846,846,,,,,4_refound_111,,,,,,,,,,,,,MLDDBGFK_04344,,,,,,,,,,BDMJLJKB_04420,,,,,,,,,,,
group_3354,,hypothetical protein,3,3,1,6,9,,,,1002,1002,1002,,,,,,,,,,,,,,,,,,MLDDBGFK_04346,,,,,,,,,,BDMJLJKB_04422,,,,,,,,,HGGDPEND_04244,,
group_3353,,hypothetical protein,3,3,1,6,8,,,,411,411,411,,,,,,,,,,,,,,,,,,MLDDBGFK_04349,,,,,,,,,,BDMJLJKB_04425,,,,,,,,,HGGDPEND_04247,,
group_3350,,hypothetical protein,3,3,1,6,5,,,,870,870,870,,,,,,,,,,,,,,,,,,MLDDBGFK_04345,,,,,,,,,,BDMJLJKB_04421,,,,,,,,,HGGDPEND_04243,,
group_3347,,hypothetical protein,3,3,1,6,2,,,,273,273,273,,,,,,,,,,,,,,,,,,MLDDBGFK_04351,,,,,,,,,,BDMJLJKB_04427,,,,,,,,,HGGDPEND_04249,,
group_3345,,hypothetical protein,3,3,1,5,34,,,,696,696,696,COBAIANA_04156,,,JELDIHCN_02055,,,,OLEGOONE_03957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
